   100
       6       2      35    3.06E-01
       6       4      35    3.09E-01
       6      -4       7    3.47E-01
       6      -2       7    1.09E+00
  43     TECHNETIUM      Tc   97.9072    428.0  1.1500E+01  14
       1       2   21044    1.93E-02
       2       2    3042    7.00E-02
       3       2    2793    3.50E-02
       4       4    2677    3.61E-02
       5       2     544    1.70E-01
       5       2     445    1.02E-01
       5       4     425    1.04E-01
       5       4     257    7.17E-02
       5       6     253    7.24E-02
       6       2      68    4.30E-01
       6       2      39    2.87E-01
       6       4      39    2.91E-01
       6      -4       7    2.99E-01
       6       3       7    1.18E+00
  44     RUTHENIUM       Ru  101.0700    441.0  1.2410E+01  14
       1       2   22117    1.88E-02
       2       2    3224    6.82E-02
       3       2    2967    3.41E-02
       4       4    2838    3.52E-02
       5       2     585    1.64E-01
       5       2     483    9.82E-02
       5       4     461    1.01E-01
       5       4     284    6.90E-02
       5       6     279    6.97E-02
       6       2      75    4.16E-01
       6       2      43    2.76E-01
       6       4      43    2.81E-01
       6       5       7    2.96E-01
       6      -3       7    6.62E-01
  45     RHODIUM         Rh  102.9055    449.0  1.2410E+01  14
       1       2   23220    1.84E-02
       2       2    3412    6.64E-02
       3       2    3146    3.32E-02
       4       4    3004    3.43E-02
       5       2     627    1.59E-01
       5       2     521    9.49E-02
       5       4     496    9.73E-02
       5       4     312    6.65E-02
       5       6     307    6.71E-02
       6       2      81    3.99E-01
       6       2      48    2.63E-01
       6       4      48    2.70E-01
       6       6       7    2.77E-01
       6      -3       7    5.66E-01
  46     PALLADIUM       Pd  106.4200    470.0  1.2020E+01  15
       1       2   24350    1.79E-02
       2       2    3605    6.47E-02
       3       2    3331    3.23E-02
       4       4    3174    3.35E-02
       5       2     670    1.54E-01
       5       2     559    9.19E-02
       5       4     531    9.43E-02
       5       4     340    6.42E-02
       5       6     335    6.47E-02
       6       2      86    3.86E-01
       6       2      51    2.54E-01
       6       4      51    2.61E-01
       6       4       8    2.78E-01
       6       4       8    2.85E-01
       6      -2       8    2.85E-01
  47     SILVER          Ag  107.8682    470.0  1.0500E+01  15
       1       2   25514    1.75E-02
       2       2    3806    6.31E-02
       3       2    3524    3.15E-02
       4       4    3352    3.27E-02
       5       2     717    1.49E-01
       5       2     602    8.91E-02
       5       4     573    9.15E-02
       5       4     374    6.20E-02
       5       6     368    6.25E-02
       6       2      95    3.69E-01
       6       2      59    2.42E-01
       6       4      59    2.49E-01
       6       4       8    2.47E-01
       6       6       8    2.51E-01
       7      -1       8    1.64E+00
  48     CADMIUM         Cd  112.4110    469.0  8.6500E+00  15
       1       2   26711    1.71E-02
       2       2    4018    6.15E-02
       3       2    3727    3.07E-02
       4       4    3538    3.19E-02
       5       2     770    1.45E-01
       5       2     651    8.64E-02
       5       4     617    8.88E-02
       5       4     411    6.00E-02
       5       6     405    6.05E-02
       6       2     108    3.52E-01
       6       2      67    2.30E-01
       6       4      67    2.37E-01
       6       4       9    2.24E-01
       6       6       9    2.28E-01
       7      -2       9    1.45E+00
